,,,SOC weight%,,,,,,,BD g/cm3,,,,,,,C dens g/cm3,,,,,
Upper depth (cm),Lower depth (cm),,mean,median,std,min,max,n,,mean,median,std,min,max,n,,mean,median,std,min,max,n
98,99,,9.6554418482,4.4045907588,10.279172074,1.7622321491,27.0791923378,6,,0.564504387,0.5703391159,0.1758066946,0.290807912,0.8223116325,6,,0.0440620232,0.0290290903,0.036888334,0.0099085959,0.1006040796,6
99,100,,9.6554418482,4.4045907588,10.279172074,1.7622321491,27.0791923378,6,,0.564504387,0.5703391159,0.1758066946,0.290807912,0.8223116325,6,,0.0440620232,0.0290290903,0.036888334,0.0099085959,0.1006040796,6
100,101,,16.1176398939,16.1176398939,18.4724156951,3.055669491,29.1796102968,2,,0.4875875769,0.4875875769,0.2973751768,0.2773115728,0.697863581,2,,0.0511214204,0.0511214204,0.042139344,0.0213244045,0.0809184363,2
101,102,,16.1176398939,16.1176398939,18.4724156951,3.055669491,29.1796102968,2,,0.4875875769,0.4875875769,0.2973751768,0.2773115728,0.697863581,2,,0.0511214204,0.0511214204,0.042139344,0.0213244045,0.0809184363,2
102,103,,16.1176398939,16.1176398939,18.4724156951,3.055669491,29.1796102968,2,,0.4875875769,0.4875875769,0.2973751768,0.2773115728,0.697863581,2,,0.0511214204,0.0511214204,0.042139344,0.0213244045,0.0809184363,2
103,104,,16.1176398939,16.1176398939,18.4724156951,3.055669491,29.1796102968,2,,0.4875875769,0.4875875769,0.2973751768,0.2773115728,0.697863581,2,,0.0511214204,0.0511214204,0.042139344,0.0213244045,0.0809184363,2
104,105,,16.1176398939,16.1176398939,18.4724156951,3.055669491,29.1796102968,2,,0.4875875769,0.4875875769,0.2973751768,0.2773115728,0.697863581,2,,0.0511214204,0.0511214204,0.042139344,0.0213244045,0.0809184363,2
105,106,,17.0195235695,17.0195235695,20.1673991336,2.7590188833,31.2800282558,2,,0.4880357894,0.4880357894,0.3170957509,0.2638152337,0.7122563452,2,,0.0510863833,0.0510863833,0.0444559395,0.0196512871,0.0825214796,2
106,107,,17.0195235695,17.0195235695,20.1673991336,2.7590188833,31.2800282558,2,,0.4880357894,0.4880357894,0.3170957509,0.2638152337,0.7122563452,2,,0.0510863833,0.0510863833,0.0444559395,0.0196512871,0.0825214796,2
107,108,,17.0195235695,17.0195235695,20.1673991336,2.7590188833,31.2800282558,2,,0.4880357894,0.4880357894,0.3170957509,0.2638152337,0.7122563452,2,,0.0510863833,0.0510863833,0.0444559395,0.0196512871,0.0825214796,2
