,,,SOC weight%,,,,,,,BD g/cm3,,,,,,,C Dens. g/cm3,,,,,
Upper depth (cm),Lower depth (cm),,mean,median,std,min,max,n,,mean,median,std,min,max,n,,mean,median,std,min,max,n
70,71,,1.0616253052,1.1851083236,0.4252613583,0.4126454016,1.5611062919,5,,1.4255410266,1.34,0.3196990989,1.0738046469,1.8941403104,5,,0.0156109205,0.0187218693,0.0072774897,0.0044310055,0.0229364577,5
71,72,,1.0616253052,1.1851083236,0.4252613583,0.4126454016,1.5611062919,5,,1.4255410266,1.34,0.3196990989,1.0738046469,1.8941403104,5,,0.0156109205,0.0187218693,0.0072774897,0.0044310055,0.0229364577,5
72,73,,1.0616253052,1.1851083236,0.4252613583,0.4126454016,1.5611062919,5,,1.4255410266,1.34,0.3196990989,1.0738046469,1.8941403104,5,,0.0156109205,0.0187218693,0.0072774897,0.0044310055,0.0229364577,5
73,74,,1.0468953052,1.1851083236,0.4318236915,0.4126454016,1.5611062919,5,,1.4295410266,1.36,0.3184840711,1.0738046469,1.8941403104,5,,0.0154481265,0.0187218693,0.0073709153,0.0044310055,0.0229364577,5
74,75,,1.0468953052,1.1851083236,0.4318236915,0.4126454016,1.5611062919,5,,1.4295410266,1.36,0.3184840711,1.0738046469,1.8941403104,5,,0.0154481265,0.0187218693,0.0073709153,0.0044310055,0.0229364577,5
75,76,,1.0058900043,1.0249041618,0.4872569849,0.4126454016,1.5611062919,4,,1.3133912057,1.3,0.2128479866,1.0738046469,1.5797601759,4,,0.0135760437,0.0152408947,0.0070054191,0.0044310055,0.0193913802,4
76,77,,1.0058900043,1.0249041618,0.4872569849,0.4126454016,1.5611062919,4,,1.3133912057,1.3,0.2128479866,1.0738046469,1.5797601759,4,,0.0135760437,0.0152408947,0.0070054191,0.0044310055,0.0193913802,4
77,78,,1.0058900043,1.0249041618,0.4872569849,0.4126454016,1.5611062919,4,,1.3133912057,1.3,0.2128479866,1.0738046469,1.5797601759,4,,0.0135760437,0.0152408947,0.0070054191,0.0044310055,0.0193913802,4
78,79,,1.0058900043,1.0249041618,0.4872569849,0.4126454016,1.5611062919,4,,1.3133912057,1.3,0.2128479866,1.0738046469,1.5797601759,4,,0.0135760437,0.0152408947,0.0070054191,0.0044310055,0.0193913802,4
79,80,,1.0058900043,1.0249041618,0.4872569849,0.4126454016,1.5611062919,4,,1.3133912057,1.3,0.2128479866,1.0738046469,1.5797601759,4,,0.0135760437,0.0152408947,0.0070054191,0.0044310055,0.0193913802,4
