,,,SOC weight%,,,,,,,BD g/cm3,,,,,,,C Dens. g/cm3,,,,,
Upper depth (cm),Lower depth (cm),,mean,median,std,min,max,n,,mean,median,std,min,max,n,,mean,median,std,min,max,n
68,69,,2.0302087253,2.0236411183,1.9752525668,0,5.8305,9,,0.3406248658,0.290784657,0.3245379574,0,0.8572885068,9,,0.0107733281,0.0067534371,0.0119372575,0,0.0306919483,9
69,70,,2.1849309476,2.0236411183,2.3323914331,0,7.223,9,,0.3413558696,0.290784657,0.3248896252,0,0.8572885068,9,,0.0115634662,0.0067534371,0.0133552068,0,0.0348968255,9
70,71,,3.2084959842,3.168,2.7992645403,0,7.223,9,,0.4277183488,0.4831347852,0.3570677775,0,0.9351736803,9,,0.020579645,0.0228393547,0.0187868087,0,0.0484933068,9
71,72,,3.2084959842,3.168,2.7992645403,0,7.223,9,,0.4277183488,0.4831347852,0.3570677775,0,0.9351736803,9,,0.020579645,0.0228393547,0.0187868087,0,0.0484933068,9
72,73,,3.1040680022,3.1339774335,2.9737393748,0,7.223,8,,0.4016974147,0.4255197381,0.3724875402,0,0.9351736803,8,,0.0199377615,0.017122117,0.019978161,0,0.0484933068,8
73,74,,3.2084959842,3.168,2.7992645403,0,7.223,9,,0.4277183488,0.4831347852,0.3570677775,0,0.9351736803,9,,0.020579645,0.0228393547,0.0187868087,0,0.0484933068,9
74,75,,3.2084959842,3.168,2.7992645403,0,7.223,9,,0.4277183488,0.4831347852,0.3570677775,0,0.9351736803,9,,0.020579645,0.0228393547,0.0187868087,0,0.0484933068,9
75,76,,3.343700342,3.9720811421,2.7958556561,0,7.223,9,,0.3948851264,0.4831347852,0.3168216289,0,0.850671988,9,,0.0189301198,0.0257147129,0.0147873541,0,0.0348968255,9
76,77,,3.343700342,3.9720811421,2.7958556561,0,7.223,9,,0.3948851264,0.4831347852,0.3168216289,0,0.850671988,9,,0.0189301198,0.0257147129,0.0147873541,0,0.0348968255,9
77,78,,3.343700342,3.9720811421,2.7958556561,0,7.223,9,,0.3948851264,0.4831347852,0.3168216289,0,0.850671988,9,,0.0189301198,0.0257147129,0.0147873541,0,0.0348968255,9
78,79,,3.343700342,3.9720811421,2.7958556561,0,7.223,9,,0.3948851264,0.4831347852,0.3168216289,0,0.850671988,9,,0.0189301198,0.0257147129,0.0147873541,0,0.0348968255,9
79,80,,3.1215892309,3.9720811421,2.5143844091,0,6.6262120686,9,,0.3971954632,0.499080134,0.3176204148,0,0.850671988,9,,0.0179777158,0.0257147129,0.0138785555,0,0.0320056574,9
80,81,,3.1594890597,3.509877475,2.5893954604,0,6.6262120686,9,,0.3446994136,0.4676627952,0.2898242867,0,0.7692185262,9,,0.0154909417,0.0213852742,0.0125191589,0,0.0320056574,9
81,82,,3.1594890597,3.509877475,2.5893954604,0,6.6262120686,9,,0.3446994136,0.4676627952,0.2898242867,0,0.7692185262,9,,0.0154909417,0.0213852742,0.0125191589,0,0.0320056574,9
82,83,,3.1594890597,3.509877475,2.5893954604,0,6.6262120686,9,,0.3446994136,0.4676627952,0.2898242867,0,0.7692185262,9,,0.0154909417,0.0213852742,0.0125191589,0,0.0320056574,9
83,84,,3.1594890597,3.509877475,2.5893954604,0,6.6262120686,9,,0.3446994136,0.4676627952,0.2898242867,0,0.7692185262,9,,0.0154909417,0.0213852742,0.0125191589,0,0.0320056574,9
84,85,,3.2608779486,3.509877475,2.6960068193,0,6.6262120686,9,,0.3338025058,0.4058556459,0.2848909121,0,0.7692185262,9,,0.0153331797,0.0213852742,0.0123736643,0,0.0320056574,9
