,,,SOC weight%,,,,,,,BD g/cm3,,,,,,,C dens g/cm3,,,,,
Upper depth (cm),Lower depth (cm),,mean,median,std,min,max,n,,mean,median,std,min,max,n,,mean,median,std,min,max,n
57,58,,4.2635213589,2.5483818414,4.3533520515,0.7370559113,13.2896832056,9,,0.8600749164,0.9434820513,0.2536683499,0.3651613481,1.0838920789,9,,0.0275899451,0.022275506,0.0161666079,0.0079888906,0.0563905662,9
58,59,,4.2635213589,2.5483818414,4.3533520515,0.7370559113,13.2896832056,9,,0.8600749164,0.9434820513,0.2536683499,0.3651613481,1.0838920789,9,,0.0275899451,0.022275506,0.0161666079,0.0079888906,0.0563905662,9
59,60,,4.2635213589,2.5483818414,4.3533520515,0.7370559113,13.2896832056,9,,0.8600749164,0.9434820513,0.2536683499,0.3651613481,1.0838920789,9,,0.0275899451,0.022275506,0.0161666079,0.0079888906,0.0563905662,9
60,61,,4.1043215488,2.5483818414,4.4215068483,0.7370559113,13.2896832056,9,,0.9318556841,0.9229110042,0.3626694081,0.3651613481,1.57622656,9,,0.0275769269,0.021190844,0.0168858821,0.0079888906,0.0563905662,9
61,62,,4.1043215488,2.5483818414,4.4215068483,0.7370559113,13.2896832056,9,,0.9318556841,0.9229110042,0.3626694081,0.3651613481,1.57622656,9,,0.0275769269,0.021190844,0.0168858821,0.0079888906,0.0563905662,9
62,63,,4.1043215488,2.5483818414,4.4215068483,0.7370559113,13.2896832056,9,,0.9318556841,0.9229110042,0.3626694081,0.3651613481,1.57622656,9,,0.0275769269,0.021190844,0.0168858821,0.0079888906,0.0563905662,9
63,64,,4.1043215488,2.5483818414,4.4215068483,0.7370559113,13.2896832056,9,,0.9318556841,0.9229110042,0.3626694081,0.3651613481,1.57622656,9,,0.0275769269,0.021190844,0.0168858821,0.0079888906,0.0563905662,9
64,65,,4.1043215488,2.5483818414,4.4215068483,0.7370559113,13.2896832056,9,,0.9318556841,0.9229110042,0.3626694081,0.3651613481,1.57622656,9,,0.0275769269,0.021190844,0.0168858821,0.0079888906,0.0563905662,9
65,66,,4.5141792836,2.6224113326,4.3752165235,1.1151940377,13.2896832056,9,,0.9061575141,0.9229110042,0.392081271,0.3651613481,1.57622656,9,,0.0290585347,0.0223800987,0.0159201001,0.0124309665,0.0563905662,9
66,67,,4.5141792836,2.6224113326,4.3752165235,1.1151940377,13.2896832056,9,,0.9061575141,0.9229110042,0.392081271,0.3651613481,1.57622656,9,,0.0290585347,0.0223800987,0.0159201001,0.0124309665,0.0563905662,9
67,68,,4.5141792836,2.6224113326,4.3752165235,1.1151940377,13.2896832056,9,,0.9061575141,0.9229110042,0.392081271,0.3651613481,1.57622656,9,,0.0290585347,0.0223800987,0.0159201001,0.0124309665,0.0563905662,9
68,69,,4.5141792836,2.6224113326,4.3752165235,1.1151940377,13.2896832056,9,,0.9061575141,0.9229110042,0.392081271,0.3651613481,1.57622656,9,,0.0290585347,0.0223800987,0.0159201001,0.0124309665,0.0563905662,9
69,70,,4.5141792836,2.6224113326,4.3752165235,1.1151940377,13.2896832056,9,,0.9061575141,0.9229110042,0.392081271,0.3651613481,1.57622656,9,,0.0290585347,0.0223800987,0.0159201001,0.0124309665,0.0563905662,9
70,71,,4.4066790341,2.6313573943,4.1757509978,0.7629376844,12.3316903041,9,,0.8911065652,0.8505153544,0.4098044657,0.2896836502,1.57622656,9,,0.0270771813,0.025269598,0.0153312397,0.0096608285,0.0563905662,9
71,72,,4.4066790341,2.6313573943,4.1757509978,0.7629376844,12.3316903041,9,,0.8911065652,0.8505153544,0.4098044657,0.2896836502,1.57622656,9,,0.0270771813,0.025269598,0.0153312397,0.0096608285,0.0563905662,9
72,73,,4.4066790341,2.6313573943,4.1757509978,0.7629376844,12.3316903041,9,,0.8911065652,0.8505153544,0.4098044657,0.2896836502,1.57622656,9,,0.0270771813,0.025269598,0.0153312397,0.0096608285,0.0563905662,9
73,74,,4.4066790341,2.6313573943,4.1757509978,0.7629376844,12.3316903041,9,,0.8911065652,0.8505153544,0.4098044657,0.2896836502,1.57622656,9,,0.0270771813,0.025269598,0.0153312397,0.0096608285,0.0563905662,9
74,75,,4.4066790341,2.6313573943,4.1757509978,0.7629376844,12.3316903041,9,,0.8911065652,0.8505153544,0.4098044657,0.2896836502,1.57622656,9,,0.0270771813,0.025269598,0.0153312397,0.0096608285,0.0563905662,9
75,76,,4.3822789318,2.8264562132,4.2079029077,0.7629376844,12.3316903041,9,,0.8942017124,0.9281752675,0.4075144319,0.2896836502,1.57622656,9,,0.0269712977,0.0262344675,0.0158819422,0.0081397029,0.0563905662,9
76,77,,4.3822789318,2.8264562132,4.2079029077,0.7629376844,12.3316903041,9,,0.8942017124,0.9281752675,0.4075144319,0.2896836502,1.57622656,9,,0.0269712977,0.0262344675,0.0158819422,0.0081397029,0.0563905662,9
77,78,,4.3822789318,2.8264562132,4.2079029077,0.7629376844,12.3316903041,9,,0.8942017124,0.9281752675,0.4075144319,0.2896836502,1.57622656,9,,0.0269712977,0.0262344675,0.0158819422,0.0081397029,0.0563905662,9
78,79,,4.3822789318,2.8264562132,4.2079029077,0.7629376844,12.3316903041,9,,0.8942017124,0.9281752675,0.4075144319,0.2896836502,1.57622656,9,,0.0269712977,0.0262344675,0.0158819422,0.0081397029,0.0563905662,9
79,80,,4.3822789318,2.8264562132,4.2079029077,0.7629376844,12.3316903041,9,,0.8942017124,0.9281752675,0.4075144319,0.2896836502,1.57622656,9,,0.0269712977,0.0262344675,0.0158819422,0.0081397029,0.0563905662,9
80,81,,3.87157895,3.0455287733,3.5525672205,0.8035892386,12.3316903041,9,,0.7514091556,0.82972777,0.4410633561,0.1234936496,1.4517673616,9,,0.0200477389,0.0201322126,0.0099662592,0.0038393909,0.0357228906,9
81,82,,3.87157895,3.0455287733,3.5525672205,0.8035892386,12.3316903041,9,,0.7514091556,0.82972777,0.4410633561,0.1234936496,1.4517673616,9,,0.0200477389,0.0201322126,0.0099662592,0.0038393909,0.0357228906,9
82,83,,3.87157895,3.0455287733,3.5525672205,0.8035892386,12.3316903041,9,,0.7514091556,0.82972777,0.4410633561,0.1234936496,1.4517673616,9,,0.0200477389,0.0201322126,0.0099662592,0.0038393909,0.0357228906,9
83,84,,3.87157895,3.0455287733,3.5525672205,0.8035892386,12.3316903041,9,,0.7514091556,0.82972777,0.4410633561,0.1234936496,1.4517673616,9,,0.0200477389,0.0201322126,0.0099662592,0.0038393909,0.0357228906,9
84,85,,3.87157895,3.0455287733,3.5525672205,0.8035892386,12.3316903041,9,,0.7514091556,0.82972777,0.4410633561,0.1234936496,1.4517673616,9,,0.0200477389,0.0201322126,0.0099662592,0.0038393909,0.0357228906,9
85,86,,3.5122805588,3.0455287733,2.8087188299,1E-025,8.6267604247,9,,0.6635919483,0.5431398018,0.4784901338,0,1.4517673616,9,,0.0208016401,0.0201322126,0.0141150869,0,0.0468553695,9
86,87,,3.5122805588,3.0455287733,2.8087188299,1E-025,8.6267604247,9,,0.6635919483,0.5431398018,0.4784901338,0,1.4517673616,9,,0.0208016401,0.0201322126,0.0141150869,0,0.0468553695,9
87,88,,3.5122805588,3.0455287733,2.8087188299,1E-025,8.6267604247,9,,0.6635919483,0.5431398018,0.4784901338,0,1.4517673616,9,,0.0208016401,0.0201322126,0.0141150869,0,0.0468553695,9
88,89,,3.5122805588,3.0455287733,2.8087188299,1E-025,8.6267604247,9,,0.6635919483,0.5431398018,0.4784901338,0,1.4517673616,9,,0.0208016401,0.0201322126,0.0141150869,0,0.0468553695,9
89,90,,3.5122805588,3.0455287733,2.8087188299,1E-025,8.6267604247,9,,0.6635919483,0.5431398018,0.4784901338,0,1.4517673616,9,,0.0208016401,0.0201322126,0.0141150869,0,0.0468553695,9
90,91,,3.5096127469,2.8264562132,2.7955911611,1E-025,8.6267604247,9,,0.6439431899,0.5431398018,0.4573181325,0,1.4517673616,9,,0.0205569221,0.0201322126,0.0140645171,0,0.0468553695,9
91,92,,3.5096127469,2.8264562132,2.7955911611,1E-025,8.6267604247,9,,0.6439431899,0.5431398018,0.4573181325,0,1.4517673616,9,,0.0205569221,0.0201322126,0.0140645171,0,0.0468553695,9
92,93,,3.5096127469,2.8264562132,2.7955911611,1E-025,8.6267604247,9,,0.6439431899,0.5431398018,0.4573181325,0,1.4517673616,9,,0.0205569221,0.0201322126,0.0140645171,0,0.0468553695,9
93,94,,3.5096127469,2.8264562132,2.7955911611,1E-025,8.6267604247,9,,0.6439431899,0.5431398018,0.4573181325,0,1.4517673616,9,,0.0205569221,0.0201322126,0.0140645171,0,0.0468553695,9
94,95,,3.5096127469,2.8264562132,2.7955911611,1E-025,8.6267604247,9,,0.6439431899,0.5431398018,0.4573181325,0,1.4517673616,9,,0.0205569221,0.0201322126,0.0140645171,0,0.0468553695,9
95,96,,3.5096127469,2.8264562132,2.7955911611,1E-025,8.6267604247,9,,0.6439431899,0.5431398018,0.4573181325,0,1.4517673616,9,,0.0205569221,0.0201322126,0.0140645171,0,0.0468553695,9
96,97,,3.5096127469,2.8264562132,2.7955911611,1E-025,8.6267604247,9,,0.6439431899,0.5431398018,0.4573181325,0,1.4517673616,9,,0.0205569221,0.0201322126,0.0140645171,0,0.0468553695,9
97,98,,3.5096127469,2.8264562132,2.7955911611,1E-025,8.6267604247,9,,0.6439431899,0.5431398018,0.4573181325,0,1.4517673616,9,,0.0205569221,0.0201322126,0.0140645171,0,0.0468553695,9
98,99,,3.5096127469,2.8264562132,2.7955911611,1E-025,8.6267604247,9,,0.6439431899,0.5431398018,0.4573181325,0,1.4517673616,9,,0.0205569221,0.0201322126,0.0140645171,0,0.0468553695,9
99,100,,3.5096127469,2.8264562132,2.7955911611,1E-025,8.6267604247,9,,0.6439431899,0.5431398018,0.4573181325,0,1.4517673616,9,,0.0205569221,0.0201322126,0.0140645171,0,0.0468553695,9
